,SIPP,AHS,NHIS,CE,CPS,FoodAPS Init,NSCG,NSCH 0-5,ATUS,NTPS Teacher,HTOPS,Food Acquisition and...,NSCH 12-17,NSCH 6-11,NTPS Priv Teacher,NTEWS,NSSRN,Unnamed: 48,NTPS School,TFS Former,FoodAPS Profile,CMP,NTPS Priv School,SPP,TFS Current,NTPS Priv Principal,Survey of Market Abs...,NTPS Principal,SCS/NCVS,FoodAPS food Log,SVS,PSS,MEPS-IC,PFS,SSOCS,Principal Follow-Up ...,Survey of State Gove...,Unknown,National Survey of C...,ITS
Social > Computer & Internet Use,0,1,9,7,0,4,0,0,0,2,1,7,1,1,2,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Social > Disability,28,11,116,0,17,1,2,22,11,1,8,0,9,12,1,0,0,0,4,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social > Education,23,2,1,5,5,2,5,13,1,29,0,0,5,6,19,7,5,0,0,5,0,1,2,4,7,6,0,7,2,0,0,0,0,0,1,0,1,0,0,0
Social > Fertility,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social > Field of Degree,1,0,0,0,0,0,7,0,0,7,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Social > Grandparents,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social > Household,44,19,26,21,10,18,0,3,10,0,17,27,7,7,0,0,2,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
Social > Language,8,1,9,3,0,0,0,2,3,1,3,2,0,0,1,0,1,0,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social > Migration,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social > Moving,9,20,0,2,1,0,0,2,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social > School Enrollment,12,1,5,1,2,11,2,1,0,2,1,0,0,0,2,3,1,0,7,0,1,0,10,2,0,0,0,2,7,0,0,6,0,0,4,0,4,0,0,0
Social > Veterans,12,3,7,2,2,5,2,2,1,0,0,0,4,4,0,0,2,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
