survey,total_shared,subtopics_covered,economic,housing,social,demographic,top_3_subtopics
SIPP,577,38,304,64,145,64,Health Insurance (79); Employment Status (52); Household (44)
CE,283,30,111,120,41,11,"Health Insurance (94); Costs (Mortgage, Taxes, Insurance) (61); Household (21)"
AHS,460,34,16,343,62,39,Structure (121); Utilities (59); Plumbing/Kitchen Facilities (50)
CPS,181,25,110,1,41,29,"Employment Status (36); Earnings (23); Hours/Week, Weeks/Year (19)"
FoodAPS,123,23,59,10,42,12,Food Stamps (SNAP) (22); Household (18); School Enrollment (11)
